Flux Density B (T),Frequency (Hz),Temperature (C),Power Loss PV (W/m³)
0.016318451,1500000,25,7216.611621
0.016865292,1500000,25,7792.317984
0.017512727,1500000,25,8254.041853
0.017929936,1500000,25,9440.608763
0.018530778,1500000,25,10193.73486
0.019242149,1500000,25,11220.18454
0.019980829,1500000,25,11885.02227
0.020456835,1500000,25,13335.21432
0.021142356,1500000,25,14399.03321
0.0217482,1500000,25,15848.93192
0.022266311,1500000,25,18127.30881
0.023012468,1500000,25,19952.62315
0.023783629,1500000,25,21134.8904
0.024580632,1500000,25,22820.92971
0.025404343,1500000,25,24641.47308
0.026009555,1500000,25,28183.82931
0.026754871,1500000,25,30432.19887
0.027651442,1500000,25,32859.93248
0.028578058,1500000,25,36168.73614
0.029535726,1500000,25,39810.71706
0.030814318,1500000,25,43819.42422
0.031697316,1500000,25,48231.78482
0.032605618,1500000,25,53088.44442
0.033539947,1500000,25,57323.58369
0.03450105,1500000,25,63095.73445
0.035825497,1500000,25,69449.10714
0.036852094,1500000,25,74989.42093
0.037908108,1500000,25,82540.41853
0.039363348,1500000,25,90851.75757
0.040874452,1500000,25,94406.08763
0.041848211,1500000,25,105925.3725
0.043454705,1500000,25,112201.8454
0.044280934,1500000,25,125892.5412
0.046197841,1500000,25,133352.1432
0.047745957,1500000,25,143990.3321
0.048883417,1500000,25,161559.8098
0.050284194,1500000,25,181273.0881
0.051725111,1500000,25,199526.2315
0.053207318,1500000,25,223872.1139
0.054990327,1500000,25,241731.5481
0.0565661,1500000,25,271227.2579
0.058461663,1500000,25,298538.2619
0.060420748,1500000,25,334965.4392
0.062445482,1500000,25,375837.4043
0.064538067,1500000,25,413682.0402
0.066387435,1500000,25,455337.4104
0.068289798,1500000,25,491662.0263
0.070246674,1500000,25,562341.3252
0.072259625,1500000,25,607202.1957
0.074681088,1500000,25,668343.9176
0.077183694,1500000,25,735642.2545
0.079395429,1500000,25,809717.1416
0.082056016,1500000,25,874312.458
0.08440737,1500000,25,962350.6264
0.08641822,1500000,25,1079775.162
0.088476975,1500000,25,1211527.659
0.090584776,1500000,25,1333521.432
0.093180525,1500000,25,1496235.656
0.094506161,1500000,25,1744482.699
0.096757596,1500000,25,1957341.781
0.100471987,1500000,25,2196173.6
0.010335106,2000000,25,3831.18685
0.010631263,2000000,25,4216.965034
0.010935907,2000000,25,4641.588834
0.011355721,2000000,25,5011.872336
0.011571634,2000000,25,5623.413252
0.012072566,2000000,25,5732.358369
0.012418511,2000000,25,6309.573445
0.012834663,2000000,25,7079.457844
0.01326476,2000000,25,7498.942093
0.013644868,2000000,25,8413.951416
0.014102115,2000000,25,8912.509381
0.014506218,2000000,25,10193.73486
0.015063091,2000000,25,11006.94171
0.015641343,2000000,25,12115.27659
0.016241792,2000000,25,13335.21432
0.016707208,2000000,25,15252.22957
0.017267077,2000000,25,16468.97865
0.017678433,2000000,25,18478.49797
0.018357083,2000000,25,19573.41781
0.01897224,2000000,25,21544.3469
0.019700558,2000000,25,23263.05067
0.020075136,2000000,25,24173.15481
0.020650398,2000000,25,26607.2506
